NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_PARKIN_PATHWAY	8		Rejected!	
BIOCARTA_CDC42RAC_PATHWAY	8		Rejected!	
BIOCARTA_BARR_MAPK_PATHWAY	14		Rejected!	
BIOCARTA_TOB1_PATHWAY	19	17		
BIOCARTA_BARRESTIN_SRC_PATHWAY	17	15		
BIOCARTA_NKT_PATHWAY	26	21		
BIOCARTA_IL1R_PATHWAY	31	30		
BIOCARTA_MET_PATHWAY	33	33		
BIOCARTA_GPCR_PATHWAY	30	28		
BIOCARTA_IGF1MTOR_PATHWAY	19	19		
BIOCARTA_SODD_PATHWAY	10		Rejected!	
BIOCARTA_SHH_PATHWAY	16		Rejected!	
BIOCARTA_PTC1_PATHWAY	11		Rejected!	
BIOCARTA_SPRY_PATHWAY	17	17		
BIOCARTA_BARRESTIN_PATHWAY	12		Rejected!	
BIOCARTA_STATHMIN_PATHWAY	20	17		
BIOCARTA_HSP27_PATHWAY	14		Rejected!	
BIOCARTA_TCR_PATHWAY	44	42		
BIOCARTA_TCYTOTOXIC_PATHWAY	12		Rejected!	
BIOCARTA_THELPER_PATHWAY	12		Rejected!	
BIOCARTA_TALL1_PATHWAY	15	15		
BIOCARTA_TGFB_PATHWAY	19	19		
BIOCARTA_TH1TH2_PATHWAY	23	17		
BIOCARTA_41BB_PATHWAY	18	17		
BIOCARTA_CTLA4_PATHWAY	22	18		
BIOCARTA_LONGEVITY_PATHWAY	15		Rejected!	
BIOCARTA_PAR1_PATHWAY	19	16		
BIOCARTA_STRESS_PATHWAY	24	24		
BIOCARTA_TNFR1_PATHWAY	29	29		
BIOCARTA_TNFR2_PATHWAY	17	17		
BIOCARTA_TOLL_PATHWAY	25	24		
BIOCARTA_TPO_PATHWAY	24	22		
BIOCARTA_CREB_PATHWAY	22	20		
BIOCARTA_CARM1_PATHWAY	12		Rejected!	
BIOCARTA_TFF_PATHWAY	24	18		
BIOCARTA_TRKA_PATHWAY	14		Rejected!	
BIOCARTA_ARF_PATHWAY	17	17		
BIOCARTA_UCALPAIN_PATHWAY	14		Rejected!	
BIOCARTA_VEGF_PATHWAY	27	27		
BIOCARTA_VITCB_PATHWAY	11		Rejected!	
BIOCARTA_WNT_PATHWAY	24	21		
BIOCARTA_ACTINY_PATHWAY	12		Rejected!	
