Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338330,---,-20.73,-64.96,7.87,2.12
10338331,---,-31.16,-23.34,-73.98,-11.07
10338332,---,-38.72,-41.30,-37.66,-36.91
10338333,---,-22.29,-54.77,-22.68,-8.40
10338334,---,-80.85,-91.64,-94.10,-20.53
10338335,---,-65.62,-33.36,-83.61,-74.35
10338336,---,-92.99,-80.07,-96.37,-97.72
10338337,---,12.21,-25.12,67.63,-2.97
10338338,---,-44.62,-32.96,-54.64,-46.17
10338339,---,40.50,42.11,31.28,47.61
10338340,---,-37.67,-26.61,-10.92,-67.09
10338341,---,24.01,14.34,3.24,47.71
10338342,---,-44.93,-35.76,-41.69,-58.93
10338343,---,-74.74,-91.56,-62.98,-67.99
10338344,---,53.24,41.17,51.64,64.49
10338345,---,75.80,67.86,84.12,73.35
10338346,---,82.65,91.92,88.83,51.41
10338347,---,-53.29,-57.26,-49.75,-53.39
10338348,---,53.55,36.94,55.21,64.96
10338349,---,-27.77,-29.77,-40.35,-11.64
10338350,---,-50.40,-28.06,-84.14,-28.16
10338351,---,77.97,81.34,83.13,67.04
10338352,---,-23.94,-81.86,24.54,-2.77
10338353,---,-48.26,-64.85,-35.28,-43.08
10338354,---,-67.89,-49.42,-64.54,-81.95
10338355,---,-85.14,-91.99,-66.06,-92.19
10338356,---,36.39,80.93,-28.02,30.90
10338357,---,-25.40,-19.98,-5.86,-55.85
10338358,---,47.61,54.86,54.08,31.47
10338359,---,-19.34,-27.09,-24.39,-7.75
10338360,---,11.22,14.48,-5.97,26.23
10338361,---,92.56,92.74,92.37,92.41
10338362,---,-33.81,-68.82,-14.88,-17.50
10338363,---,-56.90,-51.50,-28.53,-79.61
10338364,---,-7.81,-21.13,-22.27,24.94
10338365,---,-60.85,-88.86,-35.05,-59.05
10338366,---,-63.25,-44.60,-72.82,-68.52
10338367,---,-40.63,-32.38,-61.13,-27.27
10338368,---,-5.53,-27.17,28.70,-6.96
10338369,---,-71.03,-95.83,-23.06,-62.95
10338370,---,18.65,57.34,-2.89,-6.45
10338371,---,40.83,54.63,24.46,38.69
10338372,---,-45.36,-45.61,-43.12,-48.69
10338373,---,2.70,5.84,2.60,-0.52
10338374,---,39.04,43.17,-8.43,70.57
10338375,---,-24.17,-20.33,-9.87,-42.22
10338376,---,-71.26,-74.77,-58.60,-78.62
10338377,---,-85.44,-53.32,-89.14,-96.37
10338378,---,71.08,46.73,89.68,58.34
10338379,---,-89.45,-90.38,-84.51,-92.72
10338380,---,-96.29,-92.37,-97.26,-97.66
10338381,---,-25.90,-35.22,-21.34,-21.85
10338382,---,26.79,54.26,-26.60,44.19
10338383,---,85.59,65.72,88.52,94.53
10338384,---,-58.75,-78.97,-70.80,-14.69
10338385,---,60.61,59.59,64.97,56.72
10338386,---,-80.99,-94.99,-76.74,-64.78
10338387,---,-61.19,-52.02,-44.10,-82.15
10338388,---,78.40,86.52,73.44,72.42
10338389,---,-97.58,-98.04,-99.17,-93.73
10338390,---,51.85,97.53,-56.57,29.83
10338391,---,-52.06,-85.24,5.09,-64.69
10338392,---,-78.09,-49.80,-62.56,-97.42
10338393,---,89.10,91.51,87.74,88.21
10338394,---,-91.15,-89.00,-91.39,-92.64
10338395,---,48.60,31.91,46.17,65.09
10338396,---,70.19,66.62,67.05,77.18
10338397,---,-37.61,-25.99,-19.74,-72.84
10338398,---,-84.84,-88.66,-72.85,-86.96
10338399,---,-52.87,-66.89,-56.07,-22.70
10338400,---,5.96,15.14,15.70,-5.58
10338401,---,-56.84,-51.28,-37.22,-82.75
10338402,---,-52.90,-28.58,-29.90,-89.37
10338403,---,-5.05,-1.27,-22.57,13.20
10338404,---,65.57,74.43,62.42,59.07
10338405,---,-72.35,-91.62,-73.35,-48.40
10338406,---,-79.85,-75.93,-79.50,-83.81
10338407,---,73.86,67.44,72.62,80.15
10338408,---,78.14,83.53,76.05,74.71
10338409,---,-16.90,3.44,-58.28,11.21
10338410,---,-4.97,34.51,-15.14,-29.61
10338411,---,-15.58,-1.20,-12.59,-31.94
10338412,---,59.90,36.22,71.20,67.20
10338413,---,-90.51,-79.98,-89.28,-97.29
10338414,---,0.21,39.04,26.24,-60.51
10338415,---,55.62,77.18,-41.46,88.33
10338416,---,-93.28,-91.38,-76.49,-99.52
10338417,---,-62.21,-63.94,-52.30,-69.90
10338418,---,-25.64,-33.20,-35.76,-12.19
10338419,---,-66.70,-45.43,-93.22,-36.38
10338420,---,-36.75,-20.85,-55.74,-30.73
10338421,---,4.91,7.11,-19.93,17.42
10338422,---,28.75,44.64,52.61,-15.92
10338423,---,-51.41,-48.74,-32.33,-69.17
10338424,---,20.90,30.62,13.88,19.55
10338425,---,-71.74,-93.72,-62.51,-32.83
10338426,---,-40.86,-96.38,4.13,-8.30
10338427,---,94.70,96.66,98.13,71.28
10338428,---,-64.58,-59.04,-26.76,-97.27
10338429,---,83.57,92.24,83.64,68.29
10338430,---,-43.43,-57.94,-57.24,-21.26
10338431,---,-86.54,-77.78,-86.34,-92.69
10338432,---,-40.44,-35.74,-47.32,-39.12
10338433,---,10.79,15.14,-10.42,26.64
10338434,---,76.94,73.78,77.76,78.80
10338435,---,-60.08,-77.64,-52.48,-49.46
10338436,---,-35.82,-52.10,-8.04,-73.27
10338437,---,56.64,54.53,46.54,67.82
10338438,---,62.35,-17.05,89.60,74.94
10338439,---,22.04,-58.68,88.23,-1.02
10338440,---,-3.58,-37.11,61.36,-34.58
10338441,---,-92.13,-89.45,-96.19,-88.68
10338442,---,-20.43,-13.80,-20.01,-31.80
10338443,---,-41.34,-48.68,-49.88,-25.77
10338444,---,-35.28,-0.48,-54.95,-97.80
10338445,---,6.52,63.62,23.92,-61.87
10338446,---,32.46,24.99,43.51,29.80
10338447,---,-15.98,7.98,-2.11,-50.39
10338448,---,21.00,25.06,-14.38,52.83
10338449,---,62.11,52.12,62.95,69.16
10338450,---,69.46,86.19,18.54,79.02
10338451,---,-23.60,-12.93,-48.79,-17.88
10338452,---,-37.75,-65.10,-11.66,-41.66
10338453,---,12.09,62.27,-39.28,14.67
10338454,---,-18.00,-54.43,-34.15,41.82
10338455,---,-54.03,-24.92,-80.08,-50.41
10338456,---,29.67,-58.64,84.02,40.94
10338457,---,-27.83,-32.65,-19.63,-32.52
10338458,---,-36.67,-11.48,-46.34,-49.76
10338459,---,14.67,-12.05,60.55,-3.82
10338460,---,-81.85,-61.55,-91.04,-80.62
10338461,---,-8.36,15.72,-7.53,-33.82
10338462,---,-45.03,-52.54,-21.15,-63.83
10338463,---,32.15,21.65,33.91,40.05
10338464,---,39.31,4.06,35.66,68.93
10338465,---,-34.39,-43.42,-18.53,-41.53
10338466,---,-63.06,-49.19,-68.06,-69.87
10338467,---,-75.00,-93.61,-32.83,-83.12
10338468,---,40.54,49.61,70.25,-3.18
10338469,---,-60.44,-43.29,-33.44,-94.53
10338470,---,30.26,62.74,-12.73,32.35
10338471,---,1.27,1.41,0.61,2.33
10338472,---,94.28,95.27,93.31,94.16
10338473,---,-26.27,-75.87,32.78,-24.45
10338474,---,-23.49,-9.62,-18.12,-36.47
10338475,---,97.19,98.14,96.96,96.43
10338476,---,-75.58,-77.69,-66.56,-80.57
10338477,---,60.45,31.57,59.21,80.91
10338478,---,4.15,1.60,20.74,-5.46
10338479,---,-39.63,-24.86,-39.63,-59.76
10338480,---,-67.40,-80.52,-71.26,-45.96
10338481,---,15.65,42.68,12.52,-10.33
10338482,---,-52.78,-58.41,-53.37,-45.21
10338483,---,74.36,92.68,-6.60,83.88
10338484,---,-85.47,-95.77,-53.67,-94.24
10338485,---,-52.00,-31.42,-31.07,-90.98
10338486,---,14.29,3.23,28.11,18.58
10338487,---,64.09,55.81,28.48,86.15
10338488,---,-34.09,5.32,-6.55,-79.87
10338489,---,-17.83,-2.46,-1.95,-45.74
10338490,---,20.95,34.26,-2.39,27.11
10338491,---,8.98,10.06,9.24,7.01
10338492,---,-52.63,-11.04,-77.79,-59.02
10338493,---,-98.45,-95.62,-98.78,-99.20
10338494,---,23.45,28.61,9.21,28.28
10338495,---,-16.91,18.21,5.07,-63.18
10338496,---,60.92,58.21,60.37,64.04
10338497,---,-20.27,71.07,-93.41,19.88
10338498,---,-7.53,5.74,-40.50,7.59
10338499,---,72.81,87.74,79.63,34.48
10338500,---,-12.91,-6.54,-7.40,-26.11
10338501,---,13.76,-21.38,81.02,-33.90
10338502,---,-28.39,-17.86,-17.69,-47.80
10338503,---,-31.87,-99.38,-17.97,16.07
10338504,---,84.53,89.50,79.47,83.17
10338505,---,6.86,23.19,10.49,-15.44
10338506,---,-1.17,26.74,-3.26,-21.20
10338507,---,86.11,93.75,84.72,75.72
10338508,---,-23.10,-33.98,-26.81,-10.95
10338509,---,-74.10,-63.51,-79.08,-78.17
10338510,---,-36.98,-2.87,-44.59,-54.91
10338511,---,57.40,-39.56,87.56,82.18
10338512,---,-48.92,-63.23,-24.33,-54.08
10338513,---,81.53,94.82,10.19,90.77
10338514,---,-61.28,-81.29,-53.67,-33.15
