Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338307,---,14.86,38.17,17.64,-7.42
10338308,---,98.10,95.73,99.05,98.85
10338309,---,-13.64,66.80,-42.46,-70.59
10338310,---,59.63,57.76,84.98,12.35
10338311,---,-5.90,-26.02,42.74,-31.55
10338312,---,43.99,66.84,49.82,2.14
10338313,---,63.59,11.70,68.03,85.87
10338314,---,85.90,87.52,90.92,76.65
10338315,---,41.86,50.40,29.74,44.44
10338316,---,-1.76,-2.37,-0.50,-2.30
10338317,---,93.75,92.35,97.26,89.12
10338318,---,51.65,54.17,39.89,58.69
10338319,---,86.41,74.35,87.09,93.47
10338320,---,57.56,69.19,50.35,47.75
10338321,---,65.90,70.58,62.78,64.62
10338322,---,24.02,0.54,47.15,22.65
10338323,---,9.59,-4.35,17.88,15.73
10338324,---,95.60,95.41,93.85,96.75
10338325,---,98.85,99.02,98.43,99.08
10338326,---,93.37,87.19,93.76,95.53
10338327,---,-90.09,-84.67,-93.10,-90.91
10338328,---,-23.00,-56.34,-31.98,-4.54
10338329,---,-0.08,8.54,13.48,-10.31
10338330,---,19.97,-6.62,35.18,35.60
10338331,---,-12.15,-8.94,-8.57,-21.67
10338332,---,-68.30,-64.19,-95.30,-31.72
10338333,---,-18.69,-16.08,-19.73,-20.69
10338334,---,25.29,-23.25,83.29,-22.33
10338335,---,99.39,99.27,99.20,99.62
10338336,---,3.45,-44.64,13.05,53.76
10338337,---,17.45,17.51,-1.96,36.04
10338338,---,88.18,83.45,92.76,86.54
10338339,---,21.78,30.81,25.39,11.47
10338340,---,8.56,-6.07,12.34,18.39
10338341,---,78.69,57.52,93.06,63.86
10338342,---,96.24,94.04,97.92,95.37
10338343,---,45.46,22.82,-30.33,92.21
10338344,---,5.82,5.71,7.35,4.76
10338345,---,96.07,75.71,99.17,98.88
10338346,---,26.02,-3.20,32.97,44.47
10338347,---,-64.21,-66.69,-76.95,-48.31
10338348,---,-3.03,-7.11,-23.54,18.17
10338349,---,99.01,98.56,99.17,99.14
10338350,---,-28.83,-33.81,29.03,-70.07
10338351,---,94.67,94.03,94.94,94.74
10338352,---,-35.65,-13.44,-49.67,-44.12
10338353,---,97.93,96.65,99.21,97.14
10338354,---,34.33,53.60,36.22,7.65
10338355,---,96.92,93.98,95.05,99.18
10338356,---,45.13,11.15,76.75,33.74
10338357,---,84.77,31.82,91.84,95.71
10338358,---,-15.05,-8.58,-38.60,1.92
10338359,---,93.82,94.12,90.43,95.58
10338360,---,0.73,-30.58,1.09,32.45
10338361,---,91.92,89.01,93.68,92.60
10338362,---,39.82,20.55,48.63,47.85
10338363,---,69.52,59.02,67.82,79.21
10338364,---,-15.41,-38.54,-36.80,33.44
10338365,---,-42.31,-65.45,-33.55,-28.57
10338366,---,72.07,78.91,66.42,69.68
10338367,---,90.73,81.46,92.33,93.23
10338368,---,25.59,-9.19,64.12,9.02
10338369,---,-1.14,-57.64,67.63,-15.22
10338370,---,24.92,52.21,-24.48,41.83
10338371,---,-24.91,-51.84,-9.41,-10.17
10338372,---,84.40,80.32,88.24,83.03
10338373,---,74.04,80.14,62.18,77.54
10338374,---,-11.16,-22.54,-11.70,0.22
10338375,---,86.13,91.36,76.79,87.16
10338376,---,62.74,56.74,46.49,80.82
10338377,---,84.27,82.34,72.76,91.05
10338378,---,63.59,25.26,72.21,78.87
10338379,---,-27.36,-13.02,-20.38,-51.70
10338380,---,-91.12,-90.16,-95.67,-85.70
10338381,---,41.52,11.14,-7.61,81.54
10338382,---,90.25,84.22,92.68,92.58
10338383,---,29.59,26.78,39.97,23.62
10338384,---,-72.12,-94.39,-86.46,0.22
10338385,---,87.20,91.46,88.10,80.38
10338386,---,30.34,39.85,51.87,-7.52
10338387,---,25.42,-2.06,31.41,39.32
10338388,---,98.31,97.75,98.77,98.31
10338389,---,93.67,93.01,91.55,95.60
10338390,---,78.47,62.80,64.77,93.09
10338391,---,33.66,-5.90,51.62,48.01
10338392,---,89.99,71.37,89.56,97.05
10338393,---,99.06,98.43,98.90,99.42
10338394,---,6.40,19.74,-4.25,3.43
10338395,---,-39.78,-30.49,-29.43,-55.70
10338396,---,15.95,-12.21,23.11,34.00
10338397,---,98.23,98.97,97.55,97.89
10338398,---,-42.81,-20.44,-41.35,-62.81
10338399,---,67.94,84.94,50.71,66.19
10338400,---,21.87,47.91,32.16,-11.22
10338401,---,41.18,61.46,-41.45,77.57
10338402,---,23.49,-60.65,76.78,44.37
10338403,---,32.14,54.96,39.66,-2.15
10338404,---,-8.96,-20.47,-24.45,26.34
10338405,---,72.22,65.16,83.54,63.55
10338406,---,90.98,95.33,89.02,85.72
10338407,---,21.91,-5.07,49.26,16.21
10338408,---,17.12,37.55,-6.12,17.78
10338409,---,77.91,86.54,82.43,55.04
10338410,---,14.51,53.22,-9.42,-3.32
10338411,---,82.81,79.50,86.18,82.61
10338412,---,85.76,80.88,89.69,85.92
10338413,---,21.94,-12.30,62.78,5.32
10338414,---,83.19,88.14,90.67,63.67
10338415,---,71.36,86.52,76.92,33.81
10338416,---,64.64,68.32,52.55,67.64
10338417,---,72.46,70.45,71.12,75.78
10338418,---,-25.49,-10.01,-17.41,-59.74
10338419,---,47.49,28.70,42.93,69.84
10338420,---,73.89,45.71,84.50,80.96
10338421,---,56.62,38.16,71.34,59.30
10338422,---,88.27,77.06,95.28,88.16
10338423,---,16.22,-6.01,32.95,21.11
10338424,---,54.49,59.83,72.58,27.92
10338425,---,-4.47,-2.45,11.03,-18.86
10338426,---,80.04,67.20,91.62,75.79
10338427,---,94.40,90.08,87.75,98.49
10338428,---,81.16,65.50,64.09,92.55
10338429,---,36.87,46.88,52.21,2.04
10338430,---,97.73,96.83,98.03,98.15
10338431,---,31.54,1.55,26.22,61.65
10338432,---,25.24,25.51,-47.39,76.92
10338433,---,70.87,68.36,83.87,56.05
10338434,---,24.45,36.65,23.63,12.16
10338435,---,-4.05,-2.21,-1.97,-9.28
10338436,---,-89.08,-82.59,-89.99,-93.46
10338437,---,16.03,13.55,29.77,5.29
10338438,---,6.13,-14.52,-9.46,45.75
10338439,---,40.59,72.30,86.43,-72.68
10338440,---,30.80,15.08,65.43,-0.44
10338441,---,66.92,54.96,66.79,75.57
10338442,---,-49.60,-45.46,-68.74,-32.91
10338443,---,-27.70,-21.22,-23.53,-38.79
10338444,---,-46.87,-10.76,-64.93,-91.04
10338445,---,91.41,67.17,92.59,98.03
10338446,---,78.63,79.93,88.31,65.61
10338447,---,28.53,30.21,32.56,23.31
10338448,---,85.12,55.47,96.29,83.97
10338449,---,94.12,83.49,98.66,92.15
10338450,---,-23.88,-79.24,-12.46,29.68
10338451,---,-4.77,-4.46,16.77,-17.94
10338452,---,64.44,40.57,27.62,95.47
10338453,---,24.53,20.33,57.55,-8.16
10338454,---,-9.22,3.25,29.36,-56.16
10338455,---,-21.19,-49.63,-30.03,20.99
10338456,---,74.47,71.22,86.09,62.53
10338457,---,-35.56,-39.06,-50.99,-15.90
10338458,---,28.67,-6.59,58.62,28.71
10338459,---,-0.57,-52.10,43.89,34.75
10338460,---,79.06,77.84,73.65,84.87
10338461,---,93.54,87.11,97.80,91.09
10338462,---,-45.54,-48.77,-38.89,-49.88
10338463,---,2.60,-1.93,6.93,1.87
10338464,---,12.43,1.56,21.82,16.20
10338465,---,41.87,-9.19,36.07,76.35
10338466,---,63.74,66.10,52.70,71.62
10338467,---,-5.52,1.96,-6.19,-11.41
10338468,---,78.80,65.08,57.53,95.49
10338469,---,-38.11,-46.03,-21.44,-52.95
10338470,---,24.49,39.59,-14.89,45.87
10338471,---,47.52,29.39,56.42,58.50
10338472,---,96.34,96.39,96.07,96.62
10338473,---,90.20,94.72,96.37,68.14
10338474,---,31.56,25.47,29.57,40.75
10338475,---,98.06,99.13,98.90,94.56
10338476,---,49.25,34.57,45.55,65.23
10338477,---,0.05,-7.10,0.32,4.71
10338478,---,74.63,71.81,72.71,79.15
10338479,---,-61.11,-19.96,-73.12,-98.16
10338480,---,91.95,89.17,95.08,90.73
10338481,---,-10.09,-42.16,43.91,-25.64
10338482,---,82.15,48.61,78.02,98.08
10338483,---,77.91,43.47,82.72,89.01
10338484,---,35.85,5.90,45.87,53.12
10338485,---,65.12,50.57,57.96,80.04
10338486,---,-0.32,-5.50,3.34,-2.13
10338487,---,22.36,27.61,46.53,-8.16
10338488,---,76.90,75.76,76.46,78.66
10338489,---,86.64,94.56,88.21,69.66
10338490,---,67.53,57.00,72.69,73.88
10338491,---,43.57,54.78,45.16,25.61
10338492,---,73.05,77.65,63.67,77.97
10338493,---,-93.93,-98.18,-95.22,-76.54
10338494,---,87.52,94.51,89.64,74.95
10338495,---,58.54,62.85,65.59,46.25
10338496,---,23.86,22.43,21.31,28.44
10338497,---,77.29,67.24,92.54,59.10
10338498,---,56.16,31.54,-13.77,99.67
10338499,---,96.47,92.16,97.50,98.09
10338500,---,80.71,82.99,90.64,62.64
10338501,---,54.27,50.68,75.69,26.81
10338502,---,67.08,43.76,80.01,73.55
10338503,---,55.57,54.44,68.46,36.16
10338504,---,96.20,96.40,94.49,97.23
10338505,---,87.92,88.78,92.47,81.52
10338506,---,54.90,11.35,80.34,54.90
10338507,---,95.30,97.54,96.02,88.92
10338508,---,34.08,32.50,-30.93,83.29
10338509,---,68.90,53.92,72.95,77.79
10338510,---,16.63,32.70,32.70,-16.32
10338511,---,83.38,82.84,87.28,78.78
10338512,---,57.17,24.19,44.31,85.70
10338513,---,69.03,46.88,90.46,51.38
10338514,---,-4.39,-18.07,-13.81,13.73
10338515,---,-42.71,-46.63,-46.71,-33.78
10338516,---,58.48,74.45,56.76,38.25
10338517,---,62.14,67.85,63.34,55.08
10338518,---,-53.80,-73.51,-63.31,-11.09
10338519,---,29.94,9.35,44.53,35.24
10338520,---,75.72,57.54,75.31,88.30
10338521,---,-5.75,4.96,13.72,-33.28
10338522,---,13.91,0.79,19.75,22.35
10338523,---,76.56,81.52,75.39,72.47
10338524,---,57.86,48.15,58.31,65.44
10338525,---,66.84,65.22,71.05,63.45
10338526,---,67.93,54.50,95.44,-5.27
10338527,---,90.37,87.15,94.49,86.57
10338528,---,0.41,5.37,-19.91,11.23
10338529,---,17.24,12.68,6.58,33.57
10338530,---,98.88,98.19,98.83,99.49
10338531,---,38.28,34.06,36.05,44.61
10338532,---,9.12,2.36,3.09,20.70
10338533,---,-15.18,-37.13,-10.84,4.32
10338534,---,63.96,66.42,62.87,61.91
10338535,---,-4.32,-26.31,-13.94,31.37
10338536,---,97.47,93.44,98.90,97.92
10338537,---,71.23,69.90,68.61,74.35
10338538,---,95.55,84.30,96.89,98.43
10338539,---,64.57,18.61,65.60,85.85
10338540,---,17.83,17.11,16.16,20.81
10338541,---,40.05,43.87,30.99,47.23
10338542,---,94.45,91.31,96.71,93.67
