Probeset_ID,Gene Symbol,MF SLN,Sample_,Sample_
10338733,---,35.13,95.28,-74.40
10338734,---,88.80,96.65,60.01
10338735,---,-13.82,-69.70,37.24
10338736,---,-53.13,-27.32,-73.82
10338737,---,11.89,-52.05,67.55
10338738,---,84.11,98.15,23.27
10338739,---,51.32,-14.71,86.90
10338740,---,-96.09,-80.51,-99.61
10338741,---,18.84,-4.15,38.96
10338742,---,-56.94,28.56,-94.43
10338743,---,74.77,20.23,93.48
10338744,---,54.79,61.02,48.13
10338745,---,-45.86,-8.64,-81.42
10338746,---,-83.72,-91.49,-72.26
10338747,---,25.40,2.62,45.81
10338748,---,71.25,71.54,70.93
10338749,---,-11.61,-36.83,14.92
10338750,---,50.29,55.50,44.50
10338751,---,68.63,95.73,-4.38
10338752,---,53.09,-26.09,90.61
10338753,---,90.64,80.53,95.85
